path,owner,bytes,physical_lines,code_lines,classification,is_rust,embedded_test_lines
crates/arcweft-bundle/src/lib.rs,arcweft-bundle,88458,2379,2174,facade,true,796
crates/arcweft-bundle/src/logical_identity.rs,arcweft-bundle,1775,42,32,production,true,0
crates/arcweft-bundle/src/patch.rs,arcweft-bundle,67616,1827,1700,production,true,188
crates/arcweft-bundle/src/product/source_projection.rs,arcweft-bundle,679,22,21,production,true,0
crates/arcweft-bundle/src/product/style_cross_section.rs,arcweft-bundle,7064,192,186,production,true,0
crates/arcweft-bundle/src/product.rs,arcweft-bundle,53350,1432,1328,production,true,587
crates/arcweft-bundle/src/product_awbc.rs,arcweft-bundle,3084,98,83,production,true,0
crates/arcweft-bundle/src/release/archive.rs,arcweft-bundle,38936,1036,943,production,true,184
crates/arcweft-bundle/src/release/signing_policy.rs,arcweft-bundle,34428,932,851,production,true,202
crates/arcweft-bundle/src/release/verification_trust/tests.rs,arcweft-bundle,36073,1021,941,test,true,0
crates/arcweft-bundle/src/release/verification_trust.rs,arcweft-bundle,38877,1095,1008,production,true,0
crates/arcweft-bundle/src/release.rs,arcweft-bundle,79533,2190,2032,production,true,994
crates/arcweft-bundle/src/resource_codec/budget.rs,arcweft-bundle,1624,52,39,production,true,0
crates/arcweft-bundle/src/resource_codec/codec_io.rs,arcweft-bundle,2504,80,66,production,true,0
crates/arcweft-bundle/src/resource_codec/error.rs,arcweft-bundle,3398,78,76,production,true,0
crates/arcweft-bundle/src/resource_codec/field.rs,arcweft-bundle,9295,308,276,production,true,0
crates/arcweft-bundle/src/resource_codec/header.rs,arcweft-bundle,5705,163,148,production,true,0
crates/arcweft-bundle/src/resource_codec/inspection.rs,arcweft-bundle,3198,92,82,production,true,0
crates/arcweft-bundle/src/resource_codec/kind.rs,arcweft-bundle,7992,206,185,production,true,0
crates/arcweft-bundle/src/resource_codec/locale_catalog/decode.rs,arcweft-bundle,23128,653,622,production,true,0
crates/arcweft-bundle/src/resource_codec/locale_catalog/encode.rs,arcweft-bundle,12965,366,345,production,true,0
crates/arcweft-bundle/src/resource_codec/locale_catalog/error.rs,arcweft-bundle,3964,100,96,production,true,0
crates/arcweft-bundle/src/resource_codec/locale_catalog/wire.rs,arcweft-bundle,7469,206,190,production,true,0
crates/arcweft-bundle/src/resource_codec/locale_catalog.rs,arcweft-bundle,970,31,20,production,true,0
