package,manifest,workspace_fan_in,workspace_fan_out,development_workspace_fan_in,development_workspace_fan_out
arcweft-runtime-scheduler,crates/arcweft-runtime-scheduler/Cargo.toml,2,1,0,0
arcweft-rust-abi,crates/arcweft-rust-abi/Cargo.toml,6,0,2,0
arcweft-rust-abi-build,crates/arcweft-rust-abi-build/Cargo.toml,0,1,0,0
arcweft-rust-abi-macros,crates/arcweft-rust-abi-macros/Cargo.toml,0,0,0,1
arcweft-save,crates/arcweft-save/Cargo.toml,2,1,0,1
arcweft-serde-bridge,crates/arcweft-serde-bridge/Cargo.toml,1,2,1,0
arcweft-source,crates/arcweft-source/Cargo.toml,25,1,9,0
arcweft-test,crates/arcweft-test/Cargo.toml,1,4,0,1
arcweft-text-layout,crates/arcweft-text-layout/Cargo.toml,5,2,0,0
arcweft-text-model,crates/arcweft-text-model/Cargo.toml,13,7,3,1
arcweft-tooling,crates/arcweft-tooling/Cargo.toml,4,5,0,1
arcweft-verify,crates/arcweft-verify/Cargo.toml,6,4,0,0
arcweft-verify-lsp,crates/arcweft-verify-lsp/Cargo.toml,1,6,0,1
arcweft-verify-oxiz,crates/arcweft-verify-oxiz/Cargo.toml,1,1,0,0
arcweft-verify-z3,crates/arcweft-verify-z3/Cargo.toml,1,1,0,0
arcweft-view,crates/arcweft-view/Cargo.toml,15,3,5,0
