"status","path","owning_crate","file_role","current_bytes","current_physical_lines","current_code_lines","embedded_test_lines","parent_physical_lines","physical_line_delta","structural_warnings"
"M","crates/arcweft-player-scene/tests/action_button_submit.rs","arcweft-player-scene","integration test","14791","387","356","0","355","32",""
"A","crates/arcweft-player-scene/tests/dialogue_view.rs","arcweft-player-scene","integration test","6951","188","179","0","0","188",""
"M","crates/arcweft-player-scene/tests/scroll_regions.rs","arcweft-player-scene","integration test","29072","801","764","0","800","1",""
"D","crates/arcweft-player-scene/tests/textbox_view.rs","arcweft-player-scene","deleted","0","0","0","0","142","-142",""
"M","crates/arcweft-player-web/src/app.rs","arcweft-player-web","production responsibility module","32056","830","788","0","840","-10",""
"M","crates/arcweft-player-web/src/parity.rs","arcweft-player-web","production responsibility module","10744","299","279","0","299","0",""
"M","crates/arcweft-player-web/src/report.rs","arcweft-player-web","production responsibility module","21943","621","576","0","614","7",""
"M","crates/arcweft-player-web/tests/parity.rs","arcweft-player-web","integration test","34947","1034","968","0","1034","0",""
"M","crates/arcweft-presentation/src/fx/graph_evaluator.rs","arcweft-presentation","production responsibility module","18424","497","469","0","494","3",""
"M","crates/arcweft-presentation/src/fx/render_resource.rs","arcweft-presentation","production responsibility module","30894","882","799","99","856","26",""
"M","crates/arcweft-presentation/src/fx/state.rs","arcweft-presentation","production responsibility module","15486","483","417","0","482","1",""
"M","crates/arcweft-presentation/src/input.rs","arcweft-presentation","production responsibility module","8285","345","268","0","345","0",""
"M","crates/arcweft-presentation/src/layer.rs","arcweft-presentation","production responsibility module","8663","349","291","0","349","0",""
"M","crates/arcweft-presentation/src/replay.rs","arcweft-presentation","production responsibility module","18280","573","519","0","573","0",""
"M","crates/arcweft-presentation/src/semantic.rs","arcweft-presentation","production responsibility module","7642","276","239","0","276","0",""
"M","crates/arcweft-presentation/src/tests.rs","arcweft-presentation","unit test","43662","1372","1281","0","1372","0",""
"M","crates/arcweft-render-text/src/catalog.rs","arcweft-render-text","production responsibility module","3911","126","100","0","126","0",""
"M","crates/arcweft-render-text/src/playback.rs","arcweft-render-text","production responsibility module","35795","1029","925","260","1029","0",""
"M","crates/arcweft-render-text/src/resolved_document.rs","arcweft-render-text","production responsibility module","36476","1188","1048","0","1188","0",""
