path,bytes,physical_lines,code_lines,classification,is_rust,is_test,is_generated,has_embedded_tests
.arcweft-local/target-preserve-before-cargo-clean-20260628-221036/arcweft-native-golden-drift/test-visual-golden/vertical_lr_ruby_text_combine_golden/vertical_lr_ruby_text_combine_golden.imq.json,1929,73,73,text,false,false,false,false
.arcweft-local/target-preserve-before-cargo-clean-20260628-221036/arcweft-native-golden-drift/test-visual-golden/vertical_lr_ruby_text_combine_golden/vertical_lr_ruby_text_combine_golden.observe.json,631548,20788,20788,text,false,false,false,false
.arcweft-local/target-preserve-before-cargo-clean-20260628-221036/arcweft-native-golden-drift/test-visual-golden/vertical_tutr_golden/vertical_tutr_golden.environment.json,3068,82,82,text,false,false,false,false
.arcweft-local/target-preserve-before-cargo-clean-20260628-221036/arcweft-native-golden-drift/test-visual-golden/vertical_tutr_golden/vertical_tutr_golden.imq.json,1878,73,73,text,false,false,false,false
.arcweft-local/target-preserve-before-cargo-clean-20260628-221036/arcweft-native-golden-drift/test-visual-golden/vertical_tutr_golden/vertical_tutr_golden.observe.json,1324022,43405,43405,text,false,false,false,false
.github/workflows/wasm-browser.yml,5177,144,138,text,false,false,false,false
.github/workflows/zip-gap-platform-validation.yml,1955,65,51,text,false,false,false,false
AGENTS.md,19991,368,301,text,false,false,false,false
Cargo.toml,7583,216,211,text,false,false,false,false
THIRD_PARTY_NOTICES.md,2463,68,50,text,false,false,false,false
crates/arcweft/Cargo.toml,756,26,23,text,false,false,false,false
crates/arcweft/src/lib.rs,841,49,33,production,true,false,false,false
crates/arcweft-adapter-context/Cargo.toml,548,25,21,text,false,false,false,false
crates/arcweft-adapter-context/src/codec.rs,11287,360,319,production,true,false,false,true
crates/arcweft-adapter-context/src/lib.rs,359,9,3,production,true,false,false,false
crates/arcweft-adapter-context/src/manifest.rs,32896,1042,823,production,true,false,false,true
crates/arcweft-adapter-context/src/standard.rs,8883,247,212,production,true,false,false,true
crates/arcweft-adapter-desktop/Cargo.toml,673,22,19,text,false,false,false,false
crates/arcweft-adapter-desktop/src/adapter.rs,15253,432,404,production,true,false,false,false
crates/arcweft-adapter-desktop/src/codec.rs,10597,294,276,production,true,false,false,true
crates/arcweft-adapter-desktop/src/lib.rs,1850,32,25,production,true,false,false,false
crates/arcweft-adapter-desktop/src/manifest.rs,15538,439,406,production,true,false,false,true
crates/arcweft-adapter-desktop/tests/native_integration.rs,2110,54,50,test,true,true,false,false
crates/arcweft-adt/Cargo.toml,210,13,11,text,false,false,false,false
crates/arcweft-adt/src/lib.rs,37422,1486,1052,production,true,false,false,true
crates/arcweft-agent-mcp/Cargo.toml,667,22,19,text,false,false,false,false
crates/arcweft-agent-mcp/src/lib.rs,396,13,6,production,true,false,false,false
crates/arcweft-agent-mcp/src/model.rs,4931,140,111,production,true,false,false,false
crates/arcweft-agent-mcp/src/repl_command.rs,7618,223,179,production,true,false,false,true
crates/arcweft-agent-mcp/src/resources.rs,12310,318,282,production,true,false,false,false
crates/arcweft-agent-mcp/src/tests.rs,43862,1218,1157,test,true,true,false,false
crates/arcweft-agent-mcp/src/tools.rs,45918,814,783,production,true,false,false,false
crates/arcweft-agent-mcp/tests/descriptor_invariants.rs,2149,71,65,test,true,true,false,false
crates/arcweft-agent-mcp/tests/repl_command.rs,8050,238,210,test,true,true,false,false
crates/arcweft-agent-mcp-client/Cargo.toml,509,18,16,text,false,false,false,false
crates/arcweft-agent-mcp-client/src/lib.rs,16445,510,458,production,true,false,false,true
crates/arcweft-agent-policy/Cargo.toml,558,21,19,text,false,false,false,false
crates/arcweft-agent-policy/src/decode.rs,3956,123,114,production,true,false,false,false
crates/arcweft-agent-policy/src/gate.rs,17035,443,422,production,true,false,false,false
crates/arcweft-agent-policy/src/lib.rs,626,19,11,production,true,false,false,false
crates/arcweft-agent-policy/src/publication.rs,605,22,17,production,true,false,false,false
crates/arcweft-agent-policy/src/published.rs,5918,174,155,production,true,false,false,false
crates/arcweft-agent-policy/src/scene.rs,4244,92,87,production,true,false,false,false
crates/arcweft-agent-policy/src/tests.rs,9744,289,261,test,true,true,false,false
crates/arcweft-agent-protocol/Cargo.toml,491,19,17,text,false,false,false,false
crates/arcweft-agent-protocol/src/action.rs,777,29,23,production,true,false,false,false
crates/arcweft-agent-protocol/src/artifact.rs,3957,121,91,production,true,false,false,false
crates/arcweft-agent-protocol/src/diagnostic.rs,758,24,20,production,true,false,false,false
crates/arcweft-agent-protocol/src/geometry.rs,1685,68,56,production,true,false,false,false
crates/arcweft-agent-protocol/src/hit_test.rs,1435,39,35,test,true,true,false,false
crates/arcweft-agent-protocol/src/ids.rs,2320,91,68,production,true,false,false,false
crates/arcweft-agent-protocol/src/image.rs,29942,839,744,production,true,false,false,false
crates/arcweft-agent-protocol/src/lib.rs,634,31,23,production,true,false,false,false
crates/arcweft-agent-protocol/src/object.rs,6009,155,139,production,true,false,false,false
crates/arcweft-agent-protocol/src/observation.rs,7330,191,170,production,true,false,false,false
crates/arcweft-agent-protocol/src/predicate.rs,4800,176,154,production,true,false,false,true
crates/arcweft-agent-protocol/src/presentation.rs,25264,698,649,production,true,false,false,true
crates/arcweft-agent-protocol/src/protocol.rs,9755,309,255,production,true,false,false,true
crates/arcweft-agent-protocol/src/proxy.rs,3483,90,79,production,true,false,false,false
crates/arcweft-agent-protocol/src/resource.rs,5283,180,157,production,true,false,false,false
crates/arcweft-agent-protocol/src/rich_text.rs,3926,111,99,production,true,false,false,false
crates/arcweft-agent-protocol/src/serde_helpers.rs,387,18,15,production,true,false,false,false
crates/arcweft-agent-protocol/src/session.rs,411,15,11,production,true,false,false,false
crates/arcweft-agent-protocol/src/tests.rs,37003,1059,1021,test,true,true,false,false
crates/arcweft-agent-protocol/src/trace.rs,920,33,29,production,true,false,false,false
crates/arcweft-agent-protocol/src/ui.rs,208,8,6,production,true,false,false,false
crates/arcweft-agent-protocol/src/value.rs,488,18,16,production,true,false,false,false
crates/arcweft-agent-protocol/src/verified_effects.rs,1325,39,28,production,true,false,false,false
crates/arcweft-agent-repl/Cargo.toml,932,31,26,text,false,false,false,false
crates/arcweft-agent-repl/src/binding.rs,11884,369,336,production,true,false,false,false
crates/arcweft-agent-repl/src/cell.rs,6905,263,220,production,true,false,false,false
crates/arcweft-agent-repl/src/command/dispatch.rs,16762,482,439,production,true,false,false,false
crates/arcweft-agent-repl/src/command/endpoint.rs,7687,204,161,production,true,false,false,false
crates/arcweft-agent-repl/src/command/host.rs,3645,116,90,production,true,false,false,false
crates/arcweft-agent-repl/src/command/json.rs,22831,605,543,production,true,false,false,false
crates/arcweft-agent-repl/src/command/parse.rs,11444,329,301,production,true,false,false,false
crates/arcweft-agent-repl/src/command/runtime_task.rs,3847,123,109,production,true,false,false,false
crates/arcweft-agent-repl/src/command/types.rs,17731,636,519,production,true,false,false,false
crates/arcweft-agent-repl/src/command.rs,2009,43,35,production,true,false,false,false
crates/arcweft-agent-repl/src/error.rs,2237,59,53,production,true,false,false,false
crates/arcweft-agent-repl/src/evidence.rs,3661,130,109,production,true,false,false,false
crates/arcweft-agent-repl/src/hash.rs,632,17,16,production,true,false,false,false
crates/arcweft-agent-repl/src/lib.rs,1859,45,36,production,true,false,false,false
crates/arcweft-agent-repl/src/runtime.rs,7383,267,231,production,true,false,false,false
crates/arcweft-agent-repl/src/session.rs,20205,583,546,production,true,false,false,false
crates/arcweft-agent-repl/src/source.rs,4548,132,125,production,true,false,false,false
crates/arcweft-agent-repl/src/tier.rs,2339,86,68,production,true,false,false,false
crates/arcweft-agent-repl/src/tiering.rs,26458,783,715,production,true,false,false,false
crates/arcweft-agent-repl/tests/repl_cell.rs,4479,130,117,test,true,true,false,false
crates/arcweft-agent-repl/tests/repl_command.rs,8571,244,212,test,true,true,false,false
crates/arcweft-agent-repl/tests/repl_task_adapter.rs,5672,161,145,test,true,true,false,false
crates/arcweft-agent-repl/tests/repl_tiering.rs,6939,192,172,test,true,true,false,false
crates/arcweft-agent-repl/tests/repl_trace.rs,7349,215,190,test,true,true,false,false
crates/arcweft-agent-repl/tests/repl_transaction.rs,1281,35,32,test,true,true,false,false
crates/arcweft-agent-runner/Cargo.toml,578,22,19,text,false,false,false,false
crates/arcweft-agent-runner/src/assertion.rs,918,26,23,production,true,false,false,false
crates/arcweft-agent-runner/src/budget.rs,4756,146,138,production,true,false,false,false
crates/arcweft-agent-runner/src/config.rs,2081,80,67,production,true,false,false,false
crates/arcweft-agent-runner/src/effect_policy.rs,6004,154,128,production,true,false,false,false
crates/arcweft-agent-runner/src/error.rs,2614,63,60,production,true,false,false,false
crates/arcweft-agent-runner/src/host_request.rs,7793,196,192,production,true,false,false,false
crates/arcweft-agent-runner/src/label_parse.rs,19745,562,532,production,true,false,false,false
crates/arcweft-agent-runner/src/lib.rs,594,24,16,production,true,false,false,false
crates/arcweft-agent-runner/src/policy.rs,1464,53,45,production,true,false,false,false
crates/arcweft-agent-runner/src/predicate.rs,6413,163,153,production,true,false,false,false
crates/arcweft-agent-runner/src/runner.rs,31118,883,801,production,true,false,false,false
crates/arcweft-agent-runner/src/runtime_args.rs,8332,224,205,production,true,false,false,false
crates/arcweft-agent-runner/src/runtime_payload.rs,25161,666,640,production,true,false,false,false
crates/arcweft-agent-runner/src/runtime_value.rs,14700,368,344,production,true,false,false,false
crates/arcweft-agent-runner/src/session.rs,7013,208,172,production,true,false,false,false
crates/arcweft-agent-runner/src/tests.rs,75992,2103,1970,test,true,true,false,false
crates/arcweft-audio-codec/Cargo.toml,630,27,23,text,false,false,false,false
crates/arcweft-audio-codec/README.md,208,5,4,text,false,false,false,false
